2022-06-28 09:49:35 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:49:35 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 09:49:35 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:49:35 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 09:49:35 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 09:49:46 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-28 09:50:27 | 127.0.0.1 | POST | 400 - - | /intents/listIntent 
2022-06-28 09:52:33 | 127.0.0.1 | POST | 400 - - | /intents/listIntent 
2022-06-28 09:56:46 | 127.0.0.1 | POST | 404 - Cannot POST /intents/listIntent | /intents/listIntent 
2022-06-28 09:57:35 | 127.0.0.1 | POST | 200 - - | /intents/listIntent 
2022-06-28 09:57:42 | 127.0.0.1 | POST | 400 - - | /intents/listIntent 
2022-06-28 09:57:49 | 127.0.0.1 | POST | 200 - - | /intents/listIntent 
2022-06-28 09:58:56 | 127.0.0.1 | POST | 400 - - | /intents/listIntent 
2022-06-28 10:00:34 | 127.0.0.1 | POST | 400 - - | /intents/listIntent 
2022-06-28 10:00:45 | 127.0.0.1 | POST | 200 - - | /intents/listIntent 
2022-06-28 10:03:00 | 127.0.0.1 | POST | 200 - - | /intents/listIntent 
2022-06-28 10:03:51 | 127.0.0.1 | POST | 400 - - | /intents/listIntent 
2022-06-28 10:04:00 | 127.0.0.1 | POST | 400 - - | /intents/listIntent 
2022-06-28 10:04:04 | 127.0.0.1 | POST | 200 - - | /intents/listIntent 
2022-06-28 10:06:29 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-28 10:06:29 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-28 10:06:29 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-28 10:06:29 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-28 10:06:29 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-28 10:06:29 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-28 10:06:45 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-28 14:29:06 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:29:19 | 127.0.0.1 | GET | 405 - Method Not Allowed | /api/messages 
2022-06-28 14:29:19 | 127.0.0.1 | GET | 404 - Cannot GET /favicon.ico | /favicon.ico 
2022-06-28 14:29:27 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:29:48 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:29:52 | 127.0.0.1 | GET | 405 - Method Not Allowed | /api/messages 
2022-06-28 14:30:00 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:30:12 | 127.0.0.1 | GET | 200 - - | / 
2022-06-28 14:30:40 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:31:29 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:31:30 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:31:33 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:32:46 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:33:09 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:33:09 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:33:12 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:33:50 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:33:50 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:33:53 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:33:57 | 127.0.0.1 | GET | 405 - Method Not Allowed | /api/messages 
2022-06-28 14:33:58 | 127.0.0.1 | GET | 404 - Cannot GET /favicon.ico | /favicon.ico 
2022-06-28 14:34:12 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:34:16 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:34:19 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:35:10 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:36:50 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:41:24 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-28 14:41:38 | 127.0.0.1 | POST | 200 - - | /api/messages 
